server_id,school_name,school_code,module_name,unit_name,username,user_id,first_name,last_name,roll_no,grade,enrollment_status,buddy_userids,buddy_usernames,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,total_quizitems,visited_quizitems,attempted_quizitems,unattempted_quizitems,correct_attempted_quizitems,notapplicable_quizitems,incorrect_attempted_quizitems,user_files,total_files_viewed_by_user,other_viewing_my_files,unique_users_commented_on_user_files,total_rating_rcvd_on_files,commented_on_others_files,cmts_on_user_files,total_cmnts_by_user,user_notes,others_reading_my_notes,cmts_on_user_notes,cmnts_rcvd_by_user,total_notes_read_by_user,commented_on_others_notes,total_rating_rcvd_on_notes,correct_attempted_assessments,unattempted_assessments,visited_assessments,notapplicable_assessments,incorrect_attempted_assessments,attempted_assessments,total_assessment_items,1.1 Exploring Matchstick Shapes [59425cc74975ac013cccbafc],1.2 Constructing Squares- Task 1 [59425cc84975ac013cccbb0a],1.3 Constructing Squares- Task 2 [59425cc84975ac013cccbb18],1.4 Constructing Squares- Task 3 [59425cc94975ac013cccbb2b],1.5 Constructing Squares- Extension Task 1 [59425cca4975ac013cccbb39],1.6 Constructing Squares - Extension Task 2  [59425cca4975ac013cccbb47], 1.7 Summary: What is a Shape? [59425ccb4975ac013cccbb55],2.1 [5a8a7b5969602a0156cd388d],2.2 [5a8a812269602a0155a5958c],2.3 [5a8a9ad869602a0155a5a17a],2.4 [5a8a9bd269602a0155a5a26e],2.5 [5a8a9fb069602a0155a5a412],Pre-Assessment [5a8d504d69602a013e046fcd],Magic Pinwheel [5aa3d04f69602a015541471f]
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,administrator,1,,,,,Yes,[],[],4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-peacock-sp100,1260193,nemali,nemali,9,Grade 8,No,[],[],4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-ant-mz22,23245,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-apple-mz22,23246,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-lion-mz22,23282,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-bull-mz22,23252,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-dragonfly-mz22,23262,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-duck-mz22,23264,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-bulbul-mz22,23251,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
mz22,RAMHLUN SOUTH HIGH SCHOOL(ADHOC),2031022,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-hen-mz22,23274,,,,,Yes,[],[],4,1,25.0,14,1,7.142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
